Level,Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,Module Name,
14,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
15,"NLog.Internal.ObjectGraphScanner.ScanProperties(class System.Collections.Generic.List`1<!!0>,object,int32,class System.Collections.Generic.Dictionary`2<object,int32>)",1,0,0.00,0.00,"NLog.DLL",
16,"System.RuntimeType.IsDefined(class System.Type,bool)",1,1,0.00,0.00,"mscorlib.dll",
3,"System.Web.HttpRequest.get_Params()",1,1,0.00,0.00,"System.Web.dll",
0,"BingAnswers.Answers.<>c__DisplayClassd.<Page_Load>b__8()","9,854",0,39.29,0.00,"BingAnswers.DLL",
1,"BingAnswers.Answers.GetSource(class BingAnswers.Answer,string)","9,854",0,39.29,0.00,"BingAnswers.DLL",
2,"BingAnswers.Quora.GetAnswer(string)","9,854",525,39.29,2.09,"BingAnswers.DLL",
3,"BingAnswers.Quora.ParseSearchResult(class System.IO.Stream,string)","8,677",563,34.60,2.24,"BingAnswers.DLL",
4,"System.Threading.Thread.get_IsAlive()","5,190","5,190",20.69,20.69,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Add(!0)","1,115","1,115",4.45,4.45,"mscorlib.dll",
4,"System.Collections.Generic.List`1.GetEnumerator()",730,730,2.91,2.91,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.MoveNext()",677,677,2.70,2.70,"mscorlib.dll",
4,"System.Collections.Generic.List`1..ctor()",294,294,1.17,1.17,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.get_Current()",49,49,0.20,0.20,"mscorlib.dll",
4,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",23,23,0.09,0.09,"clr.dll",
4,"System.Collections.Generic.List`1.get_Count()",15,15,0.06,0.06,"mscorlib.dll",
4,"System.Collections.Generic.List`1.Enumerator.Dispose()",13,13,0.05,0.05,"mscorlib.dll",
4,"System.Xml.Serialization.XmlSerializer..ctor(class System.Type)",5,5,0.02,0.02,"System.Xml.dll",
4,"__EH_epilog3",1,1,0.00,0.00,"clr.dll",
4,"System.Xml.Serialization.XmlSerializer.Deserialize(class System.Xml.XmlReader)",1,1,0.00,0.00,"System.Xml.dll",
4,"WKS::GCHeap::Alloc(struct alloc_context *,unsigned int,unsigned long)",1,1,0.00,0.00,"clr.dll",
3,"JIT_GetGenericsGCStaticBase(class MethodTable *)",499,499,1.99,1.99,"clr.dll",
3,"ThreadNative::IsAlive(class ThreadBaseObject *)",121,121,0.48,0.48,"clr.dll",
3,"System.Collections.Generic.List`1.GetEnumerator()",14,14,0.06,0.06,"mscorlib.dll",
3,"BingAnswers.Quora.sendBingSearchRequest(string)",11,0,0.04,0.00,"BingAnswers.DLL",
4,"BingAnswers.Util.MakeWebRequestStream(string)",11,0,0.04,0.00,"BingAnswers.DLL",
5,"System.Net.WebRequest.Create(string)",5,5,0.02,0.02,"System.dll",
5,"System.Net.HttpWebRequest.GetResponse()",3,3,0.01,0.01,"System.dll",
5,"System.Net.WebHeaderCollection.Add(string,string)",3,3,0.01,0.01,"System.dll",
3,"System.Collections.Generic.List`1.Enumerator.MoveNext()",5,5,0.02,0.02,"mscorlib.dll",
3,"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",1,1,0.00,0.00,"clr.dll",
3,"Unknown Frame(s)",1,1,0.00,0.00,"UNKNOWN",
0,"BingAnswers.Quora.<>c__DisplayClass3.<ParseSearchResult>b__0()","1,528",0,6.09,0.00,"BingAnswers.DLL",
1,"BingAnswers.Quora.GetQuoraAnswer(class BingAnswers.Answer,class System.Collections.Generic.List`1<class BingAnswers.Answer>)","1,528",0,6.09,0.00,"BingAnswers.DLL",
2,"HtmlAgilityPack.HtmlDocument.Load(class System.IO.Stream)",924,0,3.68,0.00,"HtmlAgilityPack.DLL",
3,"HtmlAgilityPack.HtmlDocument.Load(class System.IO.TextReader)",924,1,3.68,0.00,"HtmlAgilityPack.DLL",
4,"HtmlAgilityPack.HtmlDocument.Parse()",902,47,3.60,0.19,"HtmlAgilityPack.DLL",
5,"HtmlAgilityPack.HtmlNode.get_Name()",333,5,1.33,0.02,"HtmlAgilityPack.DLL",
6,"System.String.ToLower()",328,328,1.31,1.31,"mscorlib.dll",
5,"System.String.Compare(string,string,bool)",233,233,0.93,0.93,"mscorlib.dll",
5,"HtmlAgilityPack.HtmlDocument.PushNodeEnd(int32,bool)",83,1,0.33,0.00,"HtmlAgilityPack.DLL",
6,"HtmlAgilityPack.HtmlDocument.CloseCurrentNode()",35,2,0.14,0.01,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.get_Name()",20,0,0.08,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",20,20,0.08,0.08,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNode.CloseNode(class HtmlAgilityPack.HtmlNode)",8,1,0.03,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlNode.get_Name()",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
9,"System.String.ToLower()",3,3,0.01,0.01,"mscorlib.dll",
8,"HtmlAgilityPack.HtmlNodeCollection.System.Collections.Generic.IEnumerable<HtmlAgilityPack.HtmlNode>.GetEnumerator()",1,1,0.00,0.00,"HtmlAgilityPack.DLL",
8,"System.Collections.Hashtable.Remove(object)",1,1,0.00,0.00,"mscorlib.dll",
8,"System.Collections.Generic.List`1.Enumerator.MoveNext()",1,1,0.00,0.00,"mscorlib.dll",
8,"System.Collections.Generic.List`1.Enumerator.Dispose()",1,1,0.00,0.00,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNode.IsClosedElement(string)",4,0,0.02,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",4,4,0.02,0.02,"mscorlib.dll",
7,"System.Collections.Hashtable.InitHash(object,int32,uint32&,uint32&)",1,1,0.00,0.00,"mscorlib.dll",
6,"HtmlAgilityPack.HtmlNode.AppendChild(class HtmlAgilityPack.HtmlNode)",19,0,0.08,0.00,"HtmlAgilityPack.DLL",
7,"HtmlAgilityPack.HtmlNode.GetId()",8,0,0.03,0.00,"HtmlAgilityPack.DLL",
8,"HtmlAgilityPack.HtmlAttributeCollection.get_Item(string)",8,0,0.03,0.00,"HtmlAgilityPack.DLL",
9,"System.String.ToLower()",8,8,0.03,0.03,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlDocument.SetIdForNode(class HtmlAgilityPack.HtmlNode,string)",8,0,0.03,0.00,"HtmlAgilityPack.DLL",
8,"System.String.ToLower()",5,5,0.02,0.02,"mscorlib.dll",
8,"System.Collections.Hashtable.set_Item(object,object)",3,3,0.01,0.01,"mscorlib.dll",
7,"HtmlAgilityPack.HtmlNodeCollection.Append(class HtmlAgilityPack.HtmlNode)",3,0,0.01,0.00,"HtmlAgilityPack.DLL",
