Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"JIT_NewFast(struct CORINFO_CLASS_STRUCT_ *)",2,0.01,0x6DDBEDC3,"2,924",0,"2,924",0,
"MS.Internal.Xml.XPath.XPathSelectionIterator.MoveNext()",2,0.01,0x1452E862,39,13,39,48,
"NLog.Internal.SortHelpers.BucketSort(class System.Collections.Generic.IEnumerable`1<!!0>,class NLog.Internal.SortHelpers/KeySelector`2<!!0,!!1>)",1,0.00,0x0BC1E68B,0,0,0,0,
"NLog.Targets.FileTarget.Write(valuetype NLog.Common.AsyncLogEventInfo[])",1,0.00,0x0BC1E587,0,0,0,0,
"System.Collections.Generic.Dictionary`2..ctor()",2,0.01,0x00492EAA,87,9,87,43,
"System.Collections.Generic.Dictionary`2.ContainsKey(!0)",1,0.00,0x00497716,209,13,209,40,
"System.Collections.Generic.Dictionary`2.get_Item(!0)",1,0.00,0x0F4CE1DE,162,17,162,40,
"System.Collections.Generic.Dictionary`2.GetEnumerator()",1,0.00,0x0AA19ED3,253,13,253,66,
"System.Collections.Generic.Dictionary`2.set_Item(!0,!1)",1,0.00,0x00A22AA0,168,17,168,43,
"System.Collections.Generic.Dictionary`2.set_Item(!0,!1)",10,0.04,0x00A22AAB,168,17,168,43,
"System.Collections.Generic.List`1..ctor()",37,0.15,0x004984E0,53,9,55,22,
"System.Collections.Generic.List`1..ctor()",5,0.02,0x004984E1,53,9,55,22,
"System.Collections.Generic.List`1..ctor()",124,0.49,0x004984EA,56,13,56,34,
"System.Collections.Generic.List`1..ctor()",10,0.04,0x004984EF,56,13,56,34,
"System.Collections.Generic.List`1..ctor()",104,0.41,0x004984F1,56,13,56,34,
"System.Collections.Generic.List`1..ctor()",138,0.55,0x004984F4,56,13,56,34,
"System.Collections.Generic.List`1..ctor()",26,0.10,0x00498502,56,13,56,34,
"System.Collections.Generic.List`1..ctor()",156,0.62,0x00498509,56,13,56,34,
"System.Collections.Generic.List`1..ctor()",119,0.47,0x0049850B,56,13,56,34,
"System.Collections.Generic.List`1..ctor()",123,0.49,0x00498513,57,9,57,10,
"System.Collections.Generic.List`1.Add(!0)",65,0.26,0x00A21460,230,13,230,40,
"System.Collections.Generic.List`1.Add(!0)",1,0.00,0x00A21462,230,13,230,40,
"System.Collections.Generic.List`1.Add(!0)",39,0.16,0x00A21466,230,13,230,40,
"System.Collections.Generic.List`1.Add(!0)",23,0.09,0x00A2146F,230,13,230,40,
"System.Collections.Generic.List`1.Add(!0)",37,0.15,0x00A21471,230,41,230,67,
"System.Collections.Generic.List`1.Add(!0)",31,0.12,0x00A21474,230,41,230,67,
"System.Collections.Generic.List`1.Add(!0)",3,0.01,0x00A21475,230,41,230,67,
"System.Collections.Generic.List`1.Add(!0)",923,3.68,0x00A2147D,231,13,231,36,
"System.Collections.Generic.List`1.Add(!0)",20,0.08,0x00A21480,231,13,231,36,
"System.Collections.Generic.List`1.Add(!0)",2,0.01,0x00A21483,231,13,231,36,
"System.Collections.Generic.List`1.Add(!0)",35,0.14,0x00A21489,231,13,231,36,
"System.Collections.Generic.List`1.Add(!0)",5,0.02,0x00A2148A,231,13,231,36,
"System.Collections.Generic.List`1.Add(!0)",300,1.20,0x00A2148F,232,13,232,24,
"System.Collections.Generic.List`1.Add(!0)",3,0.01,0x00A21492,233,9,233,10,
"System.Collections.Generic.List`1.Add(!0)",35,0.14,0x00A21493,233,9,233,10,
"System.Collections.Generic.List`1.Add(!0)",3,0.01,0x00A21494,233,9,233,10,
"System.Collections.Generic.List`1.Enumerator.Dispose()",60,0.24,0x0B094E40,"1,189",13,"1,189",14,
"System.Collections.Generic.List`1.Enumerator.get_Current()",108,0.43,0x00A21700,"1,217",21,"1,217",36,
"System.Collections.Generic.List`1.Enumerator.get_Current()",35,0.14,0x00A21703,"1,217",21,"1,217",36,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",278,1.11,0x00A21650,"1,193",17,"1,193",42,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",5,0.02,0x00A21651,"1,193",17,"1,193",42,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",148,0.59,0x00A21654,"1,193",17,"1,193",42,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",15,0.06,0x00A21655,"1,193",17,"1,193",42,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",16,0.06,0x00A21658,"1,193",17,"1,193",42,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",8,0.03,0x00A2165A,"1,195",17,"1,195",92,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",119,0.47,0x00A2165D,"1,195",17,"1,195",92,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",6,0.02,0x00A21660,"1,195",17,"1,195",92,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",39,0.16,0x00A21662,"1,195",17,"1,195",92,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",57,0.23,0x00A21665,"1,195",17,"1,195",92,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",50,0.20,0x00A2166A,"1,197",21,"1,197",55,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",63,0.25,0x00A2166D,"1,197",21,"1,197",55,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",9,0.04,0x00A21670,"1,197",21,"1,197",55,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",170,0.68,0x00A21675,"1,197",21,"1,197",55,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",5,0.02,0x00A21679,"1,197",21,"1,197",55,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",23,0.09,0x00A2167C,"1,197",21,"1,197",55,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",263,1.05,0x00A21681,"1,198",21,"1,198",29,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",7,0.03,0x00A21684,"1,199",21,"1,199",33,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",42,0.17,0x00A21689,"1,201",17,"1,201",39,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",1,0.00,0x00A2168A,"1,201",17,"1,201",39,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",6,0.02,0x00A2168C,"1,201",17,"1,201",39,
"System.Collections.Generic.List`1.Enumerator.MoveNext()",71,0.28,0x00A2168D,"1,201",17,"1,201",39,
